,Status,Target major,GRE_TOTAL,IELTS_or_TOEFL,Grade,Publications
41,Reject,Computer Science,301,6.5,7.2,0.0
42,Reject,Computer Science,307,6.5,7.1,0.0
43,Reject,Computer Science,300,64.0,8.0,1.0
44,Reject,Information Systems,307,6.5,7.4,0.0
45,Reject,Human Computer Interaction,300,6.0,8.0,0.0
46,Reject,Human Computer Interaction,303,6.5,7.2,1.0
47,Reject,Data Science,306,6.5,7.3,0.0
48,Reject,Information Systems,300,6.5,7.0,0.0
49,Reject,Data Science,299,7.0,7.6,1.0
50,Reject,Computer Science,300,6.0,8.0,0.0
51,Reject,Data Science,300,6.5,7.7,0.0
52,Reject,Information Systems,303,6.5,7.5,1.0
53,Reject,Human Computer Interaction,300,6.5,7.9,1.0
54,Reject,Computer Science,309,6.0,6.9,1.0
55,Reject,Information Systems,300,7.0,7.9,1.0
56,Reject,Data Science,305,7.5,6.9,1.0
57,Admit,Secure Computing,310,7.5,8.9,1.0
58,Admit,Computer Science,309,7.5,9.3,2.0
